index,company,job_title,link,location,salary,descript,deep learning,machine learning,ai,artificial intelligence,ml,data science,cost analysis,prediction,code,coding,data architecture,programming,statistics,mathematic,communication,critical thinking,visualization,master,professional,bachelor,business decisions,operationalizing,infrastructure,prototype,workflows,modeling,statistical,cloud,jupyter,rstudio,pycharm,atom,matlab,visual studio,spyder,vim,notepad,sublime,google colab,google,google cloud,notebook,ai platform,datalab,binder,ibm watson,ibm watson studio,ocean,python,r,sql,c,c++,java,javascript,typescript,bash,ggplot,matplotlib,plotly,d3,shiny,seaborn,geoplotlib,leaflet,cpu,gpu,tpu,linear,logistic,regression,forest,gradient,bayesian,neural networks,neural,dense,convolutional,transformer,augmentation,automated,feature engineering,selection,architecture,,pipelines,image,video,pil,cv2,skimage,u-net,mask r-cnn,image segmentation,object detection  ,yolov3,retinanet,image classification,vgg,inception,resnet,gan,vae,computer vision,generative networks,word embeddings,vectors,glove,fasttext,word2ve,encoder,decorder seq2seq,vanilla,contextualized embeddings,elmo,cove,gpt-2,bert,xlnet,scikit-learn,tensorflow,keras,randomforest,xgboost,pyTorch,caret,lightgbm,spark mlib,fast.ai,amazon,azure,salesforce,alibaba,aws
0,rockwell automation,Software Data Architect,https://www.ziprecruiter.com/eclk/fAQRWYLiCODHDVhTHh7rb3onxGwlezFluFwVDL8YavB0CNp3AbuQfM0sDZbig-9f-gum4QBlMcwzOnjKXsvDSNZ6PuK3x_6sMLu-Yd1n3yjlTC1eQK-VMffepbYYkLKSbjQDbe5aKZKbQ2sUFGNgIp9ogk14YLbG3d1Qok5tWgsGDLWH3AlxcurcCXOKD6fpYOmDChJCcaPkyk_xsRVDCrzpMvtZG6i61rgxUcrA4szDs49gLYXwQQ1NwrppaGm-QwH8xVbsf3y5X4DkOLvoh-3r55vd5hNG9Q2lEQPajniqNFcxex5s7C5cor3669MmG4KiMXPPDNJdQXTI6jaK9Ejp0cHxpp6hihZd3PPWYmu2ySIzAOQ2YB_jz4ca0GzOMTQDyjaDJR9psJQ-lkAtQBefMwtc_YPdICFGKDGMxYRmlpHfuEDzW1Oi0ssrvENVJkxABjz1ps6goB8h22erF0bJy2UDOavIU7b9OHtlpVQ=.7ea07f6c767dc9c9b3a4367cd39e8266,"Toronto, ON",Full-Time,text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,PagerDuty,Senior Data Engineer - Analytics,https://www.ziprecruiter.com/eclk/PrjVFPG3P6gbwN0p_i0XWDKFgvBTNJrNRGGKDCMhHL7mRdXRM2b5Fmi_Haclq2VKQIub7up0I3OtddG3cK9rw-1YrwqchEzOYeon4r4uv4Qth2rf_pRqM4aiba5Qaz-2y-FPjaOMRNdxpK9Xwkt9SPbHGPc12RmDQHtgP7wTMSWTGFRZ3-nTfvGF9M3SaroLJ8WZkQbFBsigjbfGxTVJlYiFyZDB2fuCniKFo_L_gvoiq9aYP8ApQKz2P0-urNfDMJmzmT4WBc0oAtBe8_gRz8CDYiLhn7tQFRQZRdeYgiVv0cMxbdi1-4PnJVdNMt_wqMQOeLgwOElk5my26BQFMxODZWIiuoBNkDml6ssPRdmwS5vxuCRwHkbWdE2npezo9BQ_-0SOEIB8YP4U8Qx7rb4vn1l_COOWr6GoBwEiLhNSE9OVth16dFeqJXlG_Mq0VwDuYQBGvKvz_uNm4pLKTFFGe3TvtoB9wRxkHWqfgG4=.d27744abe62985b25a8a5bd9c7ca89d4,"Toronto, ON",Full-Time,text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Goodfood Market Corp.,BI Engineer,"https://www.ziprecruiter.com/c/Goodfood-Market-Corp./Job/BI-Engineer/-in-Toronto,ON?jid=DQ0ea4828fc2fb1b087020654f11f47678&job_id=331a1f2c39c037a7e69b2aca0c24f539","Toronto, ON",Full-Time,text,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Interac,Senior Data Engineer,https://www.ziprecruiter.com/eclk/gptSw66Ty4w_7ZFRLIsXd4hQdYNxZ7KUDleAudN3vWWS1P70Em6ybBtL18O2rnGybTjbyVT6vDcor00ysOMuEAJXF89hauACXEHluf-WUw_NwCYx8F8hRty4jWB6VhZa4sdtgCAbclp-0hBs8Wsy0vxU7fZLkaF6_hW2HG9V7k8puGW6tWS0P8wBf_OtiNiY_VplUhHH1UPUObVO9a6rd9lT2pphogQLw92gM2HdkHwo_cuy_i5WULtgGIsH7uI4aIQ5wPwk6oWFYGXXwX-ebrO94kIZ6X0XMA3U-w50GuFGUJTZlsf-hNxwPh0zp5SpKTvGHEKFS2GodGpw97e3NWmxBLn7e1HlNS7ecSIsZfza_GufJpE5P6xg6Ak99_KA0zl112DAFEs4Z9JzFjEaesjmwiPpCW4DpWrYatMg1ZHRdehPsY3YECkYwXXTS5WZIkmDwr8KXJuJagnsBvXDUB6A5Gh_-1WU3fg-sirmpJA=.46efbfc84a9cf59794f4abce5fe8b7ab,"Toronto, ON",Full-Time,text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Project X,Consultant- Big Data Developer (4 Positions),"https://www.ziprecruiter.com/c/Project-X/Job/Consultant-Big-Data-Developer-(4-Positions)/-in-Toronto,ON?ojob=88a1b281c09d749f83a63c440961843b","Toronto, ON",Full-Time,text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,Rocket Homes,Big Data Engineer,https://www.ziprecruiter.com/eclk/3yN3BWOj-n7ZC7ZDF6l4i12xAdbDU8bKHuIi2u8hIIMPgXuNJQG4uwt9jW7Wl9KqxykqMKei5y7UKVcsZeNlCt-EzDThZFgrBJAI-g4CsxJNm_SNQC-zTWrzAu1ANxNhe3EvLmBECoPHWpXiV65tGDX2aqfJ09D839qiKtwsW9ifPSEPnoyUw6f1m2KGUxQl0cgMF64Dipgaqxjb_Ruu0PFJDmt2okhds-UttejfiCPItpd4pqnPb4rP2rzL1g5o1HtqXEbRMRHZVCtiWeD4BNsQ77iTD4K7zlcI9QxRjMH2LKK0aiKuXMIZkzTG63mcz7NpYcM6ZWQCYdlqlc07M6zAju8U7k0hvIb01r_0Yc6uJnLivpSueHS7IYeMsvOni2fdhz-U0-03iBDBQNhe8aqxtP5Jpk0523_Jc_NSbeaM53p_6glR1Uw7YPPADMT2SMMcs146gJLYiPnadVxCco_G_4Ygj0WhS6wVELvl18c=.11067628bd1dbbd45c341b10ee097138,"Toronto, ON",Full-Time,text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Serigor Inc.,Informatica MDM Architect,"https://www.ziprecruiter.com/c/Serigor-Inc./Job/Informatica-MDM-Architect/-in-Toronto,ON?ojob=10bdb112e57e79adedfc0d991c3a0c4b","Toronto, ON",Full-Time,text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Serigor Inc.,Informatica TDM Consultant,"https://www.ziprecruiter.com/c/Serigor-Inc./Job/Informatica-TDM-Consultant/-in-Toronto,ON?ojob=9915ac95cfa9d4a1e0b5258fa070c9a8","Toronto, ON",Full-Time,text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Prime Hires,Enterprise Big Data Specialist,https://www.ziprecruiter.com/eclk/SfZgtvUxOIQYaI1sqPkcUMJfQajCwjsdZK8BLkq1kBSnYKY0IyBInx6Q78B_vXpEYk1GXfaOHwvEgbhTe6zA5uvwKNmMODbsfHSBYK3Kl4utAZ8P_4S4B034bCJ45Drh4wpJFIUSCh2lVw0Ava1G2azlbq7V3VzMQIbiL-rNTFXuvy7Rrf6bHW9BFp2zedbDuFOBj_1ooxx6KdrMHViNQ9HRFS29juQsHEemixQ-ulZr_J6VwuR01cDDrJpRIKVGTPp4I8ZlHaD5-cUwS_Qg-w2VgWoU3_SQ_gQ8SR4bUbfAvniRIp5uuJYL7-awFM5qxNNkX-R2xgvw9LTQFqWSQVgrZOmyguI-ahodxohZQZnp6S03Fj6tAf_jUwJ-uvosuvibJE7lUVm3E2IObCosc5-Dz2dGgO8KIkLDYcsQWQQdXz9EJdaXFGp1xLAcvucD69t0hpIC0IQAe_5PZvBC5PeEuifghFRd-C4zgEt1NlI=.7c8ba836f0b7a0ab65eae32594956361,"Toronto, ON",Full-Time,text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Maarut Inc,Data Governance Specialist,"https://www.ziprecruiter.com/c/Maarut-Inc/Job/Data-Governance-Specialist/-in-Toronto,ON?jid=DQ002db5e9dec83f9d7b985f580b58a383&job_id=80783c206b8c173322adb2f7d68b177e","Toronto, ON",Contractor,text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
